task_id,when_ready,when_running,when_waiting_retrieval,when_retrieved,when_done,worker_committed,worker_slot,time_commit_start,time_commit_end,time_input_mgr,size_input_mgr,time_worker_start,time_worker_end,time_output_mgr,size_output_mgr,when_input_sent,when_output_received,cores_requested,gpus_requested,memory_requested(MB),disk_requested(MB),retrieved_status,done_status,done_code,category
71,1716494676.712372,1716494713.115741,1716494720.345475,1716494720.353171,1716494720.353263,worker-cb7c6c4c5130033fdb68942b826bc325,22,1716494713.115232,1716494713.115715,0.000483,4.291534423828125e-05,1716494713.115804,1716494720.344186,0.001564,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
72,1716494676.713273,1716497279.590577,1716497286.667551,1716497286.684437,1716497286.684548,worker-cb7c6c4c5130033fdb68942b826bc325,42,1716497279.590183,1716497279.590553,0.00037,4.291534423828125e-05,1716497279.591808,1716497286.662956,0.010047,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
73,1716494676.714194,1716497915.339372,1716497923.336535,1716497923.342312,1716497923.342384,worker-cb7c6c4c5130033fdb68942b826bc325,44,1716497915.3389,1716497915.339345,0.000445,4.291534423828125e-05,1716497915.339427,1716497923.335617,0.001427,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
74,1716494676.715132,1716497263.694858,1716497267.640986,1716497267.646869,1716497267.646972,worker-cb7c6c4c5130033fdb68942b826bc325,46,1716497263.694337,1716497263.694829,0.000492,4.291534423828125e-05,1716497263.695277,1716497267.058142,0.001303,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
75,1716494676.716014,1716498106.065146,1716498114.089037,1716498114.096522,1716498114.09657,worker-cb7c6c4c5130033fdb68942b826bc325,20,1716498106.064616,1716498106.065117,0.000501,4.291534423828125e-05,1716498106.065212,1716498114.087486,0.001789,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
76,1716494676.716901,1716498091.689297,1716498100.461363,1716498100.474554,1716498100.474633,worker-cb7c6c4c5130033fdb68942b826bc325,36,1716498091.688807,1716498091.689269,0.000462,4.291534423828125e-05,1716498091.689356,1716498100.457385,0.001596,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
77,1716494676.717791,1716497939.973471,1716497948.224156,1716497948.232663,1716497948.232726,worker-cb7c6c4c5130033fdb68942b826bc325,41,1716497939.972916,1716497939.973444,0.000528,4.291534423828125e-05,1716497939.973512,1716497948.223394,0.00209,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
78,1716494676.718709,1716497967.603421,1716497975.599127,1716497975.606577,1716497975.60664,worker-cb7c6c4c5130033fdb68942b826bc325,36,1716497967.6029,1716497967.603392,0.000492,4.291534423828125e-05,1716497967.603486,1716497975.598413,0.001825,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
79,1716494676.71955,1716494714.965348,1716494723.015544,1716494723.020997,1716494723.021065,worker-cb7c6c4c5130033fdb68942b826bc325,33,1716494714.964853,1716494714.965319,0.000466,4.291534423828125e-05,1716494714.965408,1716494723.012016,0.001377,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
80,1716494676.72045,1716497251.909028,1716497256.457305,1716497257.438402,1716497257.438532,worker-cb7c6c4c5130033fdb68942b826bc325,26,1716497251.908452,1716497251.908995,0.000543,4.291534423828125e-05,1716497251.909085,1716497255.99337,0.156126,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
81,1716494676.721308,1716498003.125002,1716498012.863948,1716498012.873569,1716498012.873637,worker-cb7c6c4c5130033fdb68942b826bc325,15,1716498003.124505,1716498003.124975,0.00047,4.291534423828125e-05,1716498003.125069,1716498012.86309,0.001428,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
